location,origin_date,target_date,output_type_id,value,output_type,target
Cal_S,2025-10-31,2025-11-30,0,0.19783506658704025,cdf,No WNV activity
Cal_S,2025-10-31,2025-11-30,0.01,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.05,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.1,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.15,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.2,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.25,0.041779162177476,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.3,0.1724379031656381,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.35,0.2321042097209541,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.4,0.29177051627627015,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.45,0.351436822831586,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.5,0.41110312938690197,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.55,0.470769435942218,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.6,0.530435742497534,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.65,0.5901020490528498,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.7,0.6497683556081658,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.75,0.7094346621634818,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.8,1.269100968718798,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.85,1.3287672752741138,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.9,1.3884335818294296,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.95,1.4480998883847453,quantile,WNV cases
Cal_S,2025-10-31,2025-11-30,0.99,7.192253439290317,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0,0.3529569778061123,cdf,No WNV activity
Cal_S,2025-10-31,2025-12-31,0.01,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.05,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.1,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.15,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.2,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.25,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.3,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.35,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.4,0.0,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.45,0.1514618693349712,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.5,0.2306782454252244,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.55,0.2858646006703533,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.6,0.3410509559154822,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.65,0.3962373111606109,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.7,0.4514236664057397,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.75,0.5066100216508685,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.8,0.5617963768959974,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.85,0.6169827321411263,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.9,0.6721690873862552,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.95,0.9080107807176502,quantile,WNV cases
Cal_S,2025-10-31,2025-12-31,0.99,2.6818454709585295,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0,0.27197941086383937,cdf,No WNV activity
LAO_G,2025-10-31,2025-11-30,0.01,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.05,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.1,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.15,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.2,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.25,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.3,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.35,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.4,0.06101690535032455,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.45,0.15520664080020316,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.5,0.24939637625008196,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.55,0.34358611169996084,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.6,0.44357919709657323,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.65,0.6314229664141049,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.7,0.8594384452013119,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.75,1.0874539239885188,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.8,1.530777459211378,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.85,1.8018657567362064,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.9,2.1310737730081684,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.95,3.5003286608556397,quantile,WNV cases
LAO_G,2025-10-31,2025-11-30,0.99,13.263044096447185,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0,0.43868280529724035,cdf,No WNV activity
LAO_G,2025-10-31,2025-12-31,0.01,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.05,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.1,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.15,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.2,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.25,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.3,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.35,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.4,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.45,0.0,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.5,0.02913126349449165,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.55,0.0815230002386054,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.6,0.1339147369827191,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.65,0.1863064737268327,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.7,0.2386982104709464,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.75,0.34424802033997143,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.8,0.5184227638182285,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.85,0.692597507296486,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.9,0.8667722507747433,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.95,1.1644913451368564,quantile,WNV cases
LAO_G,2025-10-31,2025-12-31,0.99,5.1551242958913654,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0,0.4185640384778075,cdf,No WNV activity
ScV_N,2025-10-31,2025-11-30,0.01,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.05,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.1,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.15,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.2,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.25,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.3,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.35,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.4,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.45,0.0,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.5,0.0320182703435422,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.55,0.0841641517832569,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.6,0.13631003322297164,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.65,0.18845591466268624,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.7,0.24060179610240096,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.75,0.29274767754211567,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.8,0.3448935589818303,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.85,0.397039440421545,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.9,0.4491853218612597,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.95,1.001331203300974,quantile,WNV cases
ScV_N,2025-10-31,2025-11-30,0.99,2.28096725822612,quantile,WNV cases
