index,location,origin_date,target_date,output_type,output_type_id,value,target
0,Cal_S,2025-04-30,2025-05-31,cdf,0,8.099333612141413e-37,No WNV activity
1,Cal_S,2025-04-30,2025-05-31,quantile,0.01,0.0248519368469715,WNV cases
2,Cal_S,2025-04-30,2025-05-31,quantile,0.05,0.0284858290106058,WNV cases
3,Cal_S,2025-04-30,2025-05-31,quantile,0.1,0.0289374589920043,WNV cases
4,Cal_S,2025-04-30,2025-05-31,quantile,0.15,0.0293981414288282,WNV cases
5,Cal_S,2025-04-30,2025-05-31,quantile,0.2,0.0297132711857557,WNV cases
6,Cal_S,2025-04-30,2025-05-31,quantile,0.25,0.0300889648497104,WNV cases
7,Cal_S,2025-04-30,2025-05-31,quantile,0.3,0.0305808391422033,WNV cases
8,Cal_S,2025-04-30,2025-05-31,quantile,0.35,0.0309748575091362,WNV cases
9,Cal_S,2025-04-30,2025-05-31,quantile,0.4,0.0312130060046911,WNV cases
10,Cal_S,2025-04-30,2025-05-31,quantile,0.45,0.0318916626274585,WNV cases
11,Cal_S,2025-04-30,2025-05-31,quantile,0.5,0.0322269573807716,WNV cases
12,Cal_S,2025-04-30,2025-05-31,quantile,0.55,0.032439712435007,WNV cases
13,Cal_S,2025-04-30,2025-05-31,quantile,0.6,0.0327719673514366,WNV cases
14,Cal_S,2025-04-30,2025-05-31,quantile,0.65,0.0333777889609336,WNV cases
15,Cal_S,2025-04-30,2025-05-31,quantile,0.7,0.0336294844746589,WNV cases
16,Cal_S,2025-04-30,2025-05-31,quantile,0.75,0.0338315330445766,WNV cases
17,Cal_S,2025-04-30,2025-05-31,quantile,0.8,0.0341989994049072,WNV cases
18,Cal_S,2025-04-30,2025-05-31,quantile,0.85,0.0344001650810241,WNV cases
19,Cal_S,2025-04-30,2025-05-31,quantile,0.9,0.0354318879544734,WNV cases
20,Cal_S,2025-04-30,2025-05-31,quantile,0.95,0.0367422625422477,WNV cases
21,Cal_S,2025-04-30,2025-05-31,quantile,0.99,0.0379430577158927,WNV cases
22,Cal_S,2025-04-30,2025-06-30,cdf,0,1.1985328110248834e-36,No WNV activity
23,Cal_S,2025-04-30,2025-06-30,quantile,0.01,1.2089197635650637,WNV cases
24,Cal_S,2025-04-30,2025-06-30,quantile,0.05,1.386687397956848,WNV cases
25,Cal_S,2025-04-30,2025-06-30,quantile,0.1,1.4082714319229126,WNV cases
